GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TheGame,hu.nye.progtech.foxandhounds,Settings,45,61,6,6,11,20,6,2,0,2
TheGame,hu.nye.progtech.foxandhounds,Gui,407,576,84,6,84,123,50,8,6,5
TheGame,hu.nye.progtech.foxandhounds,HighScores,0,20,0,0,0,6,0,2,0,2
